Subject ID,Mean Velocity,Velocity Std,Peak Velocity,NVV,NIV,Mean Acceleration,Acceleration Std,Peak Acceleration,NIA,Mean Jerk,Jerk Std,Max Jerk,NIJ,NIC,Duration,Mean Pressure,Median Pressure,Peak Pressure,Pressure Std,Rate of Inversion in Pressure
00001__1_1,14.87039956018405,4.069245732510222,24.496596677391544,0.0010862431464106108,0.0025544703230653645,0.3076922696056065,0.14828109662711458,0.7845231455878363,0.005033809166040571,0.02748757104499444,0.017290319893523455,0.10359036317979965,0.008339594290007513,0.004282494365138993,13310,857.1540685687929,910.6376007175134,1213.9555391652675,185.88194020247735,0.015777610818933134
00002__1_1,13.745227503708259,5.179592302741823,24.0375174215233,0.0007215657045765809,0.0015426147319706903,0.2508283301237748,0.11510448575864035,0.5780754454171642,0.002809762547518043,0.0103520151410494,0.006553678740709917,0.03906076786306581,0.005123684645474079,0.0028648559308027104,18151,830.8593018379922,847.1567880906373,1105.3818295489723,167.4467239659702,0.012671478155473528
00003__1_1,12.788530482779032,4.5707489815230256,22.218577785187527,0.0008225493931814921,0.0017354415734670266,0.2726400769263702,0.15729047023084589,0.8029336102988456,0.002635300167116596,0.013136001618884865,0.008169889278284397,0.04390223607317063,0.004949222265072631,0.002699575780948708,15558,718.9457188830046,720.3390947577622,882.1619816335299,81.9301493190112,0.016261730299524362
00004__1_1,19.914534163330895,18.524913265580565,116.55058267630237,0.02350267388409758,0.011775938892425206,40.39859935779775,46.02179467350875,347.91919799080796,0.011730471946894607,106.24257867386501,120.2343006003139,808.2125267689725,0.011866872783486405,0.01409475311448577,21994,1213.0833317568038,1253.2003506210876,1772.8096012099638,280.52980805978007,0.010639265254160226
00005__1_1,2.6572501477759984,0.9809809862611686,6.191845122711367,0.0013844330060901878,0.0016328586399343608,0.04112284965619676,0.03234025889437551,0.2409166731739206,0.002550833895220842,0.00387922390291951,0.0038307683910692135,0.022580962778691854,0.002623946968650739,0.002258381601501255,123097,941.7528988154435,940.198022740955,1100.906454547677,61.23441430222732,0.0019415582833050358
00006__1_1,6.857258642270761,5.905832795081257,22.685691195000636,0.0006537289571332252,0.0016880802775954234,0.1166601064696306,0.1166343874256283,0.46911622022292726,0.00248522929757104,0.004228241070805891,0.003938690102324642,0.01934438378041673,0.004407765169276939,0.0022038825846384695,21326,807.5602956167542,833.503826502765,1131.5241250809324,193.87243765914548,0.010362937259683016
00007__1_1,3.2076021692615413,2.4164152796134655,30.38381227224069,0.006422187477593279,0.004111472292531253,0.3788273870212224,0.5495494149614621,8.597282240620187,0.003212087728540042,0.11782965091051055,0.223968021824614,4.402133857366482,0.0030450591666559596,0.004663951381840141,77831,700.5255063732131,799.4803217895278,1110.5109224200407,299.6347326764953,0.0028009404992869165
00008__1_1,16.044238093852723,7.065701705993427,33.33187726559676,0.0011620458048823817,0.00215633423180593,0.49271155476370937,0.25934915912583495,1.1931037467828554,0.0030188679245283017,0.02785331415992579,0.01863261805186503,0.10490077768315832,0.006253369272237197,0.0034501347708894878,9275,835.3394152381677,824.4901078461914,1004.7662228610297,87.1023119860562,0.02587601078167116
00009__1_1,9.937917250416156,4.676085042202997,27.853523506666797,0.004642305726097858,0.005493811568577924,0.5992098691742739,0.5929793060142473,4.551694569704459,0.010166708764839607,0.1789505573357038,0.19571792840596394,1.5264399431031115,0.011145491285678202,0.007009345794392523,31672,1324.8056949152706,1330.4105674571738,1513.980719689401,65.81546633778477,0.007419802980550644
00010__1_1,9.976615153174873,33.56621513478489,540.4633222867525,0.01023232185992582,0.007347915242652085,11.867498005768232,106.79723500699534,1898.9497546540624,0.01038961038961039,32.882497262361966,309.6608978756454,5270.577889057141,0.009364319890635681,0.010970608339029391,29260,919.5228457622895,1037.3340262134489,1256.6581029128645,379.2064226535969,0.007758031442241968
